,co2_mean,ch4_mean,co2_mean_fit,ch4_mean_fit
15,331.04,0.0,142.92005920410156,138.16941833496094
14,332.29,0.0,142.52818298339844,137.6986083984375
15,331.04,0.0,141.22132873535156,139.3965606689453
16,329.67,0.0,142.8988494873047,138.14060974121094
15,331.04,0.0,142.78143310546875,138.01690673828125
16,329.67,0.0,141.4767608642578,139.7088623046875
17,329.33,0.0,143.14930725097656,138.45968627929688
16,329.67,0.0,143.12945556640625,138.4501190185547
17,329.33,0.0,141.82809448242188,140.13336181640625
18,330.47,0.0,143.49295043945312,138.89430236816406
17,329.33,0.0,144.9149627685547,140.6843719482422
18,330.47,0.0,143.63052368164062,142.3248748779297
19,331.97,0.0,145.2581024169922,141.13601684570312
18,330.47,0.0,144.40988159179688,140.0555419921875
19,331.97,0.0,143.12069702148438,141.70774841308594
20,332.77,0.0,144.75843811035156,140.5047607421875
19,331.97,0.0,143.99659729003906,139.53953552246094
20,332.77,0.0,142.7034454345703,141.20164489746094
21,333.1,0.0,144.349853515625,139.98692321777344
20,332.77,0.0,143.94789123535156,139.47735595703125
21,333.1,0.0,142.6542205810547,141.14076232910156
22,334.07,0.0,144.3018035888672,139.92457580566406
21,333.1,0.0,144.33731079101562,139.9622039794922
22,334.07,0.0,143.0472869873047,141.61643981933594
23,335.78,0.0,144.68690490722656,140.41122436523438
22,334.07,0.0,144.90170288085938,140.6656951904297
23,335.78,0.0,143.6169891357422,142.30682373046875
24,336.49,0.0,145.24525451660156,141.1173095703125
23,335.78,0.0,145.26034545898438,141.11277770996094
24,336.49,0.0,143.9789276123047,142.74581909179688
25,335.96,0.0,145.6002655029297,141.5661163330078
24,336.49,0.0,145.4828643798828,141.38937377929688
25,335.96,0.0,144.20339965820312,143.01759338378906
26,334.64,0.0,145.82069396972656,141.84378051757812
25,335.96,0.0,146.1008758544922,142.1595001220703
26,334.64,0.0,144.82705688476562,143.77406311035156
27,332.31,0.0,146.43275451660156,142.61688232421875
26,334.64,0.0,147.28195190429688,143.63792419433594
27,332.31,0.0,146.01878356933594,145.2272186279297
28,330.66,0.0,147.6032257080078,144.10084533691406
27,332.31,0.0,147.7812042236328,144.2659454345703
28,330.66,0.0,146.52255249023438,145.8447723388672
29,330.55,0.0,148.0982666015625,144.73109436035156
28,330.66,0.0,147.18002319335938,143.512451171875
29,330.55,0.0,145.91627502441406,145.1034393310547
30,331.73,0.0,147.50184631347656,143.9749755859375
29,330.55,0.0,146.10711669921875,142.17153930664062
30,331.73,0.0,144.83375549316406,143.7853546142578
31,333.75,0.0,146.43846130371094,142.6289520263672
30,331.73,0.0,144.91537475585938,140.6851806640625
31,333.75,0.0,143.6309051513672,142.3257598876953
32,335.17,0.0,145.2586212158203,141.1367950439453
31,333.75,0.0,144.33969116210938,139.96673583984375
32,335.17,0.0,143.04974365234375,141.6208038330078
33,335.78,0.0,144.68919372558594,140.41566467285156
32,335.17,0.0,144.36376953125,139.995361328125
33,335.78,0.0,143.073974609375,141.64906311035156
34,336.7,0.0,144.71315002441406,140.4444580078125
33,335.78,0.0,144.87350463867188,140.62930297851562
34,336.7,0.0,143.5884246826172,142.27125549316406
35,337.77,0.0,145.21751403808594,141.08082580566406
34,336.7,0.0,145.87454223632812,141.87734985351562
35,337.77,0.0,144.59869384765625,143.496826171875
36,338.02,0.0,146.20851135253906,142.3336639404297
35,337.77,0.0,146.78858947753906,143.02003479003906
36,338.02,0.0,145.52098083496094,144.61984252929688
37,337.57,0.0,147.1142120361328,143.48065185546875
36,338.02,0.0,147.3345947265625,143.70364379882812
37,337.57,0.0,146.0717010498047,145.29209899902344
38,336.17,0.0,147.65562438964844,144.16671752929688
37,337.57,0.0,148.248291015625,144.85154724121094
38,336.17,0.0,146.99330139160156,146.42141723632812
39,333.89,0.0,148.56202697753906,145.31858825683594
38,336.17,0.0,149.41131591796875,146.321044921875
39,333.89,0.0,148.166015625,147.86822509765625
40,332.18,0.0,149.71669006347656,146.79258728027344
39,333.89,0.0,149.6068115234375,146.56976318359375
40,332.18,0.0,148.36329650878906,148.11300659179688
41,332.2,0.0,149.91078186035156,147.0420684814453
40,332.18,0.0,148.8270263671875,145.58441162109375
41,332.2,0.0,147.577392578125,147.1422576904297
42,333.25,0.0,149.13609313964844,146.0539093017578
41,332.2,0.0,147.26634216308594,143.6216583251953
42,333.25,0.0,146.00338745117188,145.21083068847656
43,334.64,0.0,147.5874481201172,144.0845489501953
42,333.25,0.0,145.71652221679688,141.6834259033203
43,334.64,0.0,144.43943786621094,143.30604553222656
44,336.12,0.0,146.05174255371094,142.13893127441406
43,334.64,0.0,144.9608612060547,140.74009704589844
44,336.12,0.0,143.67669677734375,142.37986755371094
45,337.21,0.0,145.3038330078125,141.1919708251953
44,336.12,0.0,145.03221130371094,140.82789611816406
45,337.21,0.0,143.74862670898438,142.46617126464844
46,338.51,0.0,145.37454223632812,141.28013610839844
45,337.21,0.0,145.59152221679688,141.52439880371094
46,338.51,0.0,144.3130340576172,143.1501922607422
47,339.01,0.0,145.92828369140625,141.9793243408203
46,338.51,0.0,146.47711181640625,142.62962341308594
47,339.01,0.0,145.20663452148438,144.2361297607422
48,338.93,0.0,146.80555725097656,143.08876037597656
47,339.01,0.0,147.6754608154297,144.1311798095703
48,338.93,0.0,146.4154815673828,145.71270751953125
49,338.97,0.0,147.99375915527344,144.5957794189453
48,338.93,0.0,148.88427734375,145.65318298339844
49,338.97,0.0,147.63449096679688,147.21067810058594
50,337.78,0.0,149.1934051513672,146.12271118164062
49,338.97,0.0,150.59521484375,147.82435607910156
50,337.78,0.0,149.35903930664062,149.34986877441406
51,335.57,0.0,150.89349365234375,148.2996063232422
50,337.78,0.0,151.3526611328125,148.79200744628906
51,335.57,0.0,150.1221466064453,150.30419921875
52,333.94,0.0,151.64698791503906,149.26918029785156
51,335.57,0.0,151.19073486328125,148.5850372314453
52,333.94,0.0,149.95924377441406,150.09974670410156
53,334.41,0.0,151.48565673828125,149.06192016601562
52,333.94,0.0,150.93475341796875,148.26028442382812
53,334.41,0.0,149.70175170898438,149.77914428710938
54,335.66,0.0,151.23085021972656,148.7366485595703
53,334.41,0.0,148.971923828125,145.7684326171875
54,335.66,0.0,147.72349548339844,147.32350158691406
55,336.81,0.0,149.280029296875,146.2384796142578
54,335.66,0.0,146.87062072753906,143.12506103515625
55,336.81,0.0,145.6039276123047,144.72288513183594
56,338.92,0.0,147.1953582763672,143.58607482910156
55,336.81,0.0,145.9259490966797,141.94241333007812
56,338.92,0.0,144.6505889892578,143.5607452392578
57,340.3,0.0,146.2594451904297,142.39894104003906
56,338.92,0.0,146.29531860351562,142.4027099609375
57,340.3,0.0,145.02320861816406,144.01309204101562
58,341.47,0.0,146.6254119873047,142.8610076904297
57,340.3,0.0,147.27330017089844,143.62649536132812
58,341.47,0.0,146.009765625,145.2163848876953
59,342.89,0.0,147.59495544433594,144.0892791748047
58,341.47,0.0,148.55181884765625,145.2327117919922
59,342.89,0.0,147.29913330078125,146.79689025878906
60,342.91,0.0,148.8634796142578,145.7008819580078
59,342.89,0.0,151.59481811523438,149.0991668701172
60,342.91,0.0,150.36566162109375,150.6075897216797
61,341.74,0.0,151.88815307617188,149.57672119140625
60,342.91,0.0,154.9092254638672,153.37301635742188
61,341.74,0.0,153.7018280029297,154.82899475097656
62,339.16,0.0,155.1912384033203,153.8540802001953
61,341.74,0.0,159.43753051757812,159.29051208496094
62,339.16,0.0,158.25559997558594,160.6840057373047
63,337.04,0.0,159.7155303955078,159.76617431640625
62,339.16,0.0,167.2783660888672,169.65249633789062
63,337.04,0.0,166.13577270507812,170.9505157470703
64,336.6,0.0,167.5713348388672,170.09942626953125
63,337.04,0.0,165.91358947753906,167.8561553955078
64,336.6,0.0,164.76553344726562,169.16966247558594
65,336.6,0.0,166.20310974121094,168.30909729003906
64,336.6,0.0,158.03985595703125,157.4736328125
65,336.6,0.0,156.85223388671875,158.88442993164062
66,337.55,0.0,158.318115234375,157.95217895507812
65,336.6,0.0,151.11325073242188,148.48939514160156
66,337.55,0.0,149.8813934326172,150.00543212890625
67,339.17,0.0,151.40869140625,148.9661102294922
66,337.55,0.0,148.40127563476562,145.0460205078125
67,339.17,0.0,147.1477508544922,146.61268615722656
68,340.45,0.0,148.7137451171875,145.5137176513672
67,339.17,0.0,148.007080078125,144.5491943359375
68,340.45,0.0,146.7500762939453,146.12387084960938
69,341.48,0.0,148.3226776123047,145.0152130126953
68,340.45,0.0,148.15182495117188,144.73019409179688
69,341.48,0.0,146.8958740234375,146.3022003173828
70,342.42,0.0,148.4664306640625,145.19677734375
69,341.48,0.0,149.40274047851562,146.30831909179688
70,342.42,0.0,148.15699768066406,147.85609436035156
71,343.46,0.0,149.70848083496094,146.77967834472656
70,342.42,0.0,152.07012939453125,149.7084197998047
71,343.46,0.0,150.8443603515625,151.2087860107422
72,343.7,0.0,152.3612823486328,150.18695068359375
71,343.46,0.0,155.28871154785156,153.8666229248047
72,343.7,0.0,154.08372497558594,155.31687927246094
73,342.48,0.0,155.5698699951172,154.34768676757812
72,343.7,0.0,159.2679443359375,159.06781005859375
73,342.48,0.0,158.08493041992188,160.4638214111328
74,340.53,0.0,159.54611206054688,159.5438232421875
73,342.48,0.0,164.85317993164062,166.43211364746094
74,340.53,0.0,163.69801330566406,167.75924682617188
75,338.8,0.0,165.13919067382812,166.88999938964844
74,340.53,0.0,173.20162963867188,177.51023864746094
75,338.8,0.0,172.08741760253906,178.73931884765625
76,337.48,0.0,173.5158233642578,177.92576599121094
75,338.8,0.0,173.54620361328125,177.98190307617188
76,337.48,0.0,172.43490600585938,179.20648193359375
77,337.64,0.0,173.86285400390625,178.39488220214844
76,337.48,0.0,162.3004150390625,163.07891845703125
77,337.64,0.0,161.13461303710938,164.43589782714844
78,339.0,0.0,162.58213806152344,163.5461883544922
77,337.64,0.0,154.2951202392578,152.58526611328125
78,339.0,0.0,153.0851593017578,154.0493621826172
79,340.32,0.0,154.57830810546875,153.06654357910156
78,339.0,0.0,150.68540954589844,147.94203186035156
79,340.32,0.0,149.4501495361328,149.4658203125
80,341.21,0.0,150.98321533203125,148.4175567626953
79,340.32,0.0,149.0562744140625,145.87188720703125
80,341.21,0.0,147.8079071044922,147.42613220214844
81,342.1,0.0,149.3643035888672,146.342041015625
80,341.21,0.0,149.48040771484375,146.40701293945312
81,342.1,0.0,148.2352752685547,147.9533233642578
82,343.13,0.0,149.78564453125,146.87864685058594
81,342.1,0.0,151.72703552246094,149.26861572265625
82,343.13,0.0,150.49888610839844,150.7747344970703
83,343.92,0.0,152.01971435546875,149.74647521972656
82,343.13,0.0,154.82550048828125,153.2654266357422
83,343.92,0.0,153.61778259277344,154.7224578857422
84,343.86,0.0,155.1076202392578,153.74655151367188
83,343.92,0.0,158.01979064941406,157.4311981201172
84,343.86,0.0,156.83023071289062,158.84352111816406
85,342.96,0.0,158.29798889160156,157.9096221923828
84,343.86,0.0,162.7281494140625,163.62355041503906
85,342.96,0.0,161.56251525878906,164.97633361816406
86,341.55,0.0,163.00987243652344,164.0895538330078
85,342.96,0.0,170.67962646484375,174.15310668945312
86,341.55,0.0,169.5524444580078,175.41197204589844
87,339.34,0.0,170.9835662841797,174.5830841064453
86,341.55,0.0,178.56015014648438,184.63490295410156
87,339.34,0.0,177.47250366210938,185.8011474609375
88,337.41,0.0,178.89849853515625,185.0171356201172
87,339.34,0.0,176.13372802734375,181.41659545898438
88,337.41,0.0,175.03472900390625,182.61111450195312
89,337.73,0.0,176.46144104003906,181.81398010253906
88,337.41,0.0,166.109619140625,168.1158447265625
89,337.73,0.0,164.9624481201172,169.4271240234375
90,339.13,0.0,166.39979553222656,168.56788635253906
89,337.73,0.0,157.47390747070312,156.7304229736328
90,339.13,0.0,156.2830047607422,158.14889526367188
91,340.75,0.0,157.7523193359375,157.20989990234375
90,339.13,0.0,151.5242462158203,149.01461791992188
91,340.75,0.0,150.29525756835938,150.52374267578125
92,342.05,0.0,151.8177947998047,149.4922332763672
91,340.75,0.0,148.9948272705078,145.79405212402344
92,342.05,0.0,147.7459259033203,147.34947204589844
93,342.46,0.0,149.30328369140625,146.26394653320312
92,342.05,0.0,149.62252807617188,146.58700561523438
93,342.46,0.0,148.37847900390625,148.13070678710938
94,343.21,0.0,149.92686462402344,147.05908203125
93,342.46,0.0,152.0924835205078,149.7364044189453
94,343.21,0.0,150.86676025390625,151.2364959716797
95,345.21,0.0,152.38356018066406,150.2149200439453
94,343.21,0.0,156.39157104492188,155.30235290527344
95,345.21,0.0,155.1930694580078,156.73672485351562
96,346.19,1639.45,156.67083740234375,155.78289794921875
95,345.21,0.0,161.90213012695312,162.53692626953125
96,346.19,1639.45,160.73268127441406,163.8997344970703
97,345.39,1633.46,162.18276977539062,163.0056610107422
96,346.19,1639.45,165.10903930664062,166.76651000976562
97,345.39,1633.46,163.9545135498047,168.09120178222656
98,343.61,1633.17,165.3958740234375,167.223388671875
97,345.39,1633.46,334.032470703125,405.59979248046875
98,343.61,1633.17,334.0798645019531,403.8281555175781
99,341.29,1631.46,334.47515869140625,404.1272277832031
98,343.61,1633.17,366.9976806640625,452.4382019042969
99,341.29,1631.46,367.2754821777344,449.9685363769531
100,339.86,1648.35,367.3817138671875,450.653076171875
99,341.29,1631.46,367.8816223144531,453.8055725097656
100,339.86,1648.35,368.1672058105469,451.3210754394531
101,340.06,1663.77,368.2652282714844,452.0080261230469
100,339.86,1648.35,367.88116455078125,453.8049621582031
101,340.06,1663.77,368.1667175292969,451.3204345703125
102,341.23,1658.31,368.2647399902344,452.0074157714844
101,340.06,1663.77,367.88140869140625,453.8052673339844
102,341.23,1658.31,368.1669616699219,451.32073974609375
103,342.81,1654.25,368.26495361328125,452.0076904296875
102,341.23,1658.31,367.8818664550781,453.805908203125
103,342.81,1654.25,368.16741943359375,451.3213806152344
104,344.03,1658.98,368.26544189453125,452.0083312988281
103,342.81,1654.25,367.88189697265625,453.80596923828125
104,344.03,1658.98,368.1674499511719,451.3214111328125
105,344.69,1656.57,368.2655029296875,452.0083923339844
104,344.03,1658.98,367.882080078125,453.8062438964844
105,344.69,1656.57,368.1676330566406,451.3216552734375
106,345.62,1655.66,368.2657165527344,452.00860595703125
105,344.69,1656.57,367.8824462890625,453.8066711425781
106,345.62,1655.66,368.16796875,451.3221130371094
107,346.92,1657.7,368.2660217285156,452.0090637207031
106,345.62,1655.66,367.8824768066406,453.8067321777344
107,346.92,1657.7,368.16802978515625,451.3221435546875
108,347.49,1649.41,368.2660827636719,452.0091247558594
107,346.92,1657.7,367.8825988769531,453.8068542480469
108,347.49,1649.41,368.16815185546875,451.3222961425781
109,346.73,1633.72,368.26617431640625,452.0092468261719
108,347.49,1649.41,367.88287353515625,453.8072204589844
109,346.73,1633.72,368.16845703125,451.3226623535156
110,345.2,1629.62,368.2664794921875,452.0096740722656
109,346.73,1633.72,367.88275146484375,453.80706787109375
110,345.2,1629.62,368.1683044433594,451.3225402832031
111,342.96,1643.84,368.266357421875,452.0095520019531
110,345.2,1629.62,367.8822021484375,453.80633544921875
111,342.96,1643.84,368.1677551269531,451.3218078613281
112,341.4,1663.22,368.26580810546875,452.0087890625
111,342.96,1643.84,367.8818359375,453.8058776855469
112,341.4,1663.22,368.1673889160156,451.3212585449219
113,341.79,1673.73,368.2654113769531,452.0082702636719
112,341.4,1663.22,367.8818054199219,453.80584716796875
113,341.79,1673.73,368.1673889160156,451.3213195800781
114,343.08,1676.17,368.2654113769531,452.0082702636719
113,341.79,1673.73,367.882080078125,453.8061828613281
114,343.08,1676.17,368.16766357421875,451.3216247558594
115,343.99,1671.13,368.26568603515625,452.00860595703125
114,343.08,1676.17,367.8824462890625,453.8066711425781
115,343.99,1671.13,368.1679992675781,451.3221130371094
116,344.68,1662.45,368.2660217285156,452.0090637207031
115,343.99,1671.13,367.88275146484375,453.8070373535156
116,344.68,1662.45,368.1682434082031,451.3224792480469
117,345.74,1665.35,368.266357421875,452.00946044921875
116,344.68,1662.45,367.88275146484375,453.8070983886719
117,345.74,1665.35,368.1683044433594,451.3224792480469
118,346.95,1677.28,368.2663269042969,452.0094909667969
117,345.74,1665.35,367.8825988769531,453.8069152832031
118,346.95,1677.28,368.1681823730469,451.3223571777344
119,347.9,1674.23,368.2662353515625,452.0093078613281
118,346.95,1677.28,367.88287353515625,453.8072509765625
119,347.9,1674.23,368.1684265136719,451.3226623535156
120,348.67,1666.05,368.2664794921875,452.0096740722656
119,347.9,1674.23,367.8833923339844,453.8078918457031
120,348.67,1666.05,368.1689453125,451.32330322265625
121,348.29,1658.56,368.2669677734375,452.0102844238281
120,348.67,1666.05,367.8834228515625,453.8079528808594
121,348.29,1658.56,368.1689758300781,451.3233947753906
122,346.29,1653.47,368.26702880859375,452.0104064941406
121,348.29,1658.56,367.88336181640625,453.807861328125
122,346.29,1653.47,368.1689147949219,451.32330322265625
123,343.99,1653.8,368.2669677734375,452.0102844238281
122,346.29,1653.47,367.8831481933594,453.80755615234375
123,343.99,1653.8,368.1686706542969,451.3229675292969
124,342.88,1667.54,368.2667236328125,452.00994873046875
123,343.99,1653.8,367.8826599121094,453.8069763183594
124,342.88,1667.54,368.168212890625,451.3223571777344
125,342.94,1680.79,368.26629638671875,452.0093688964844
124,342.88,1667.54,367.88232421875,453.8064880371094
125,342.94,1680.79,368.1678466796875,451.3218994140625
126,344.14,1680.03,368.265869140625,452.0088806152344
125,342.94,1680.79,367.88250732421875,453.80670166015625
126,344.14,1680.03,368.1680603027344,451.3221130371094
127,345.4,1677.19,368.26605224609375,452.0091247558594
126,344.14,1680.03,367.8828125,453.80718994140625
127,345.4,1677.19,368.1683654785156,451.3226013183594
128,346.2,1675.11,368.26641845703125,452.0095520019531
127,345.4,1677.19,367.88299560546875,453.8074035644531
128,346.2,1675.11,368.1685485839844,451.3227844238281
129,346.71,1666.17,368.2666015625,452.0097961425781
128,346.2,1675.11,367.88311767578125,453.80755615234375
129,346.71,1666.17,368.1686706542969,451.3230285644531
130,347.78,1671.94,368.2667236328125,452.0099792480469
129,346.71,1666.17,367.8831787109375,453.80767822265625
130,347.78,1671.94,368.1687927246094,451.3230895996094
131,349.39,1687.7,368.26678466796875,452.0101013183594
130,347.78,1671.94,367.883056640625,453.8074645996094
131,349.39,1687.7,368.1686096191406,451.3229064941406
132,350.05,1685.43,368.26666259765625,452.0099182128906
131,349.39,1687.7,367.88336181640625,453.8078918457031
132,350.05,1685.43,368.1689147949219,451.3232727050781
133,349.15,1684.24,368.2669677734375,452.0102844238281
132,350.05,1685.43,367.8840026855469,453.8086853027344
133,349.15,1684.24,368.1695861816406,451.3241271972656
134,347.14,1681.97,368.267578125,452.0111083984375
133,349.15,1684.24,367.88409423828125,453.8087463378906
134,347.14,1681.97,368.1695861816406,451.3241882324219
135,345.34,1669.95,368.26763916015625,452.01116943359375
134,347.14,1681.97,367.8838806152344,453.80853271484375
135,345.34,1669.95,368.16943359375,451.3239440917969
136,344.13,1679.66,368.2674560546875,452.0109558105469
135,345.34,1669.95,367.883544921875,453.8080749511719
136,344.13,1679.66,368.1690979003906,451.3235168457031
137,343.89,1690.43,368.26715087890625,452.0104675292969
136,344.13,1679.66,367.8829345703125,453.8073425292969
137,343.89,1690.43,368.1684875488281,451.32275390625
138,345.45,1691.83,368.26654052734375,452.0097351074219
137,343.89,1690.43,367.88299560546875,453.8074035644531
138,345.45,1691.83,368.1685485839844,451.32281494140625
139,346.92,1697.28,368.2665710449219,452.0097961425781
138,345.45,1691.83,367.88323974609375,453.8077087402344
