,co2_mean,ch4_mean,sf6_mean,co2_mean_fit,ch4_mean_fit,sf6_mean_fit
0,321.36,1623.0955810969172,-3.601986891677967,54.461856842041016,52.61874008178711,2.6897032260894775
1,320.74,1624.2709945072856,-3.5796971934977364,50.435184478759766,53.014034271240234,2.699873685836792
2,321.98,1623.9343720262186,-3.543101612222017,52.09461975097656,52.233158111572266,2.7245869636535645
1,320.74,1624.2709945072856,-3.5796971934977364,54.46314239501953,52.61993408203125,2.689870595932007
2,321.98,1623.9343720262186,-3.543101612222017,50.436424255371094,53.01539993286133,2.7000696659088135
3,323.78,1623.1425129326817,-3.5021988833475746,52.09598922729492,52.23452377319336,2.7247939109802246
2,321.98,1623.9343720262186,-3.543101612222017,54.463932037353516,52.62067413330078,2.6899871826171875
3,323.78,1623.1425129326817,-3.5021988833475746,50.43718338012695,53.016212463378906,2.700207233428955
4,325.13,1620.6423252886598,-3.5380637792723917,52.09683609008789,52.2353630065918,2.7249324321746826
3,323.78,1623.1425129326817,-3.5021988833475746,54.46310806274414,52.61991500854492,2.689937114715576
4,325.13,1620.6423252886598,-3.5380637792723917,50.43638610839844,53.01530838012695,2.700157880783081
5,325.54,1620.9804285010687,-3.507852006044743,52.0959358215332,52.2344856262207,2.7248456478118896
4,325.13,1620.6423252886598,-3.5380637792723917,54.46176528930664,52.61864471435547,2.689833402633667
5,325.54,1620.9804285010687,-3.507852006044743,50.4350471496582,53.013832092285156,2.700047016143799
6,325.67,1621.5461500197198,-3.479793806616499,52.09446334838867,52.23301696777344,2.7246835231781006
5,325.54,1620.9804285010687,-3.507852006044743,54.45985794067383,52.616851806640625,2.6895639896392822
6,325.67,1621.5461500197198,-3.479793806616499,50.43324661254883,53.01191711425781,2.699700117111206
7,326.58,1621.4777919710177,-3.4457363658898146,52.09248352050781,52.231021881103516,2.724386692047119
6,325.67,1621.5461500197198,-3.479793806616499,54.459739685058594,52.61674499511719,2.6895878314971924
7,326.58,1621.4777919710177,-3.4457363658898146,50.4331169128418,53.011783599853516,2.6997334957122803
8,327.69,1621.246849417861,-3.410140658163783,52.09234619140625,52.23088455200195,2.724398374557495
7,326.58,1621.4777919710177,-3.4457363658898146,54.45989227294922,52.616886138916016,2.689638137817383
8,327.69,1621.246849417861,-3.410140658163783,50.433250427246094,53.01190948486328,2.6997973918914795
9,327.3,1622.235290648081,-3.386081952934205,52.09250259399414,52.23104476928711,2.724447250366211
8,327.69,1621.246849417861,-3.410140658163783,54.459285736083984,52.6163215637207,2.689613103866577
9,327.3,1622.235290648081,-3.386081952934205,50.432655334472656,53.0112419128418,2.699772596359253
10,326.13,1623.8578114456905,-3.368022489002783,52.09183883666992,52.23039245605469,2.724390983581543
9,327.3,1622.235290648081,-3.386081952934205,54.45847702026367,52.615577697753906,2.689567804336548
10,326.13,1623.8578114456905,-3.368022489002783,50.431861877441406,53.01035690307617,2.6997230052948
11,324.91,1625.5209783694518,-3.350347591820821,52.090965270996094,52.22952651977539,2.7243053913116455
10,326.13,1623.8578114456905,-3.368022489002783,54.45914840698242,52.616188049316406,2.689669370651245
11,324.91,1625.5209783694518,-3.350347591820821,50.4324951171875,53.011043548583984,2.699847936630249
12,322.98,1627.7613202839857,-3.3381335424874408,52.091651916503906,52.230220794677734,2.724426031112671
11,324.91,1625.5209783694518,-3.350347591820821,54.46053695678711,52.617488861083984,2.689845085144043
12,322.98,1627.7613202839857,-3.3381335424874408,50.43383026123047,53.01250457763672,2.700058937072754
13,322.65,1628.700986162883,-3.3136133571579194,52.093143463134766,52.2317008972168,2.7246499061584473
12,322.98,1627.7613202839857,-3.3381335424874408,54.461936950683594,52.618797302246094,2.6900219917297363
13,322.65,1628.700986162883,-3.3136133571579194,50.435184478759766,53.01398468017578,2.700270891189575
14,324.06,1628.226166853041,-3.275710248932569,52.09464645385742,52.23320007324219,2.7248735427856445
13,322.65,1628.700986162883,-3.3136133571579194,54.463932037353516,52.62065124511719,2.6902594566345215
14,324.06,1628.226166853041,-3.275710248932569,50.43709182739258,53.01609420776367,2.7005465030670166
